year,month,gs1,ebp,ff4_tc,ipgr,infl
2001,8,3.47,0.60858,-0.0070968,-0.25709999999998,0
2001,9,2.82,0.998345,-0.0129032,-0.326700000000017,0.393800000000056
2001,10,2.33,0.865248,-0.0387096,-0.491199999999992,-0.281100000000038
2001,11,2.18,-0.427836,-0.1179571,-0.540900000000022,-0.0563999999999396
2001,12,2.22,0.359763,-0.0436559,0.0246999999999957,-0.0563000000000784
2002,1,2.16,0.500767,-0.0083871,0.614500000000021,0.168900000000008
2002,2,2.23,0.71221,0.0187097,-0.0400000000000205,0.168700000000058
2002,3,2.57,0.266711,-0.0188708,0.738100000000031,0.280599999999936
2002,4,2.48,0.385478,-0.026129,0.417599999999993,0.447200000000066
2002,5,2.35,0.414249,-0.016129,0.514700000000005,0.111400000000003
2002,6,2.2,0.751762,-0.0055377,0.972699999999975,0.0557000000000016
2002,7,1.96,1.168366,-0.0083334,-0.335999999999956,0.222499999999968
2002,8,1.76,1.19177,-0.0245161,0.137399999999957,0.277399999999943
2002,9,1.72,1.305279,-0.0166504,0.0520000000000209,0.166000000000054
2002,10,1.65,1.110808,-0.0038333,-0.331799999999987,0.221000000000004
2002,11,1.49,0.784568,-0.0708334,0.546099999999967,0.165399999999977
2002,12,1.45,0.661981,-0.0070698,-0.452099999999973,0.165200000000027
2003,1,1.36,0.589204,0.0058064,0.696899999999971,0.439099999999939
2003,2,1.3,0.394674,0.0270967,0.368899999999996,0.546100000000024
2003,3,1.24,-0.153522,-0.0090322,-0.198999999999955,0.163300000000049
2003,4,1.27,-0.138374,-0.0109677,-0.821200000000033,-0.38130000000001
2003,5,1.18,-0.854259,-0.0335484,-0.0136999999999716,-0.163900000000012
2003,6,1.01,-0.561209,0.0145483,0.00849999999996953,0.109199999999987
2003,7,1.12,-1.32735,0.0840001,0.352000000000032,0.327200000000062
2003,8,1.31,-0.225067,0,-0.11930000000001,0.434599999999932
2003,9,1.24,-0.694795,0,0.606099999999969,0.324600000000032
2003,10,1.25,-0.543412,-0.0012903,-0.0362999999999829,-0.108100000000036
