gamma_f,lambda,rho_pi,rho_x
0.5626651682013497,7.569424966024675e-05,0.7775154910635904,0.0029987983954863854
0.5564588901019282,0.0003912674100681676,0.7963081913294633,0.009262067309141546
0.5704631115269473,0.000528446002213025,0.759459850434754,0.021586044333148147
0.590648649523567,-0.001107282117475069,0.6773736668197253,-0.04276098504544018
0.5775071053524968,-6.984495633001854e-05,0.7299332176443977,-0.006079107284759589
0.5457218109661053,-0.00029538283115690747,0.8270651687116735,-0.011244511037409996
0.572436409632853,8.8216065208516e-05,0.7511062652971998,0.017397254812204117
0.5754608882414991,0.0003418474208104084,0.7371802397765943,0.007941501090204764
0.5773656840840342,5.6664237124205794e-05,0.732179023790613,0.0022866088108579206
0.5592926352327396,-2.8553842715215274e-05,0.7873110956668942,-0.0017752843330549985
0.5818221179748816,0.0002732508001430283,0.7204896247006716,0.012175382018010822
0.5727549117196395,0.0003989149559359365,0.7546837784117953,0.017023390458337728
0.5502401450310775,5.642543629668132e-05,0.8177822684871364,0.001346633525855027
0.5597553273859317,0.0002082732846085825,0.7861206847798015,0.0112032922754467
0.5676025937978143,6.737545927657559e-06,0.7618226912431373,0.0004214784073632351
0.5731340785089579,-0.0005222599075557759,0.7444482653716444,-0.02011217122641522
0.552236306494783,-0.00024631898779160343,0.8117945173001472,-0.012736338268135755
0.5711080707430222,-0.00028956717327245814,0.7487057738307832,-0.015730811171841847
0.5770334221775058,0.000549824757206786,0.7382924025572423,0.014033094375127548
0.564799081587089,-0.00166418484331406,0.7617744142314742,-0.0415726392190417
0.5710968148072593,-2.7277008900328096e-05,0.7507603430323324,-0.0009577554283087804
0.558634188494578,-0.0013888091481609535,0.785053895054739,-0.03213998369447202
0.5775351294994321,-0.0004809689360649721,0.729656687421577,-0.018206870155394395
0.5690534362136037,0.00031090517393054205,0.7601700859013327,0.007902968979180964
0.5502339441180568,5.393558028416118e-05,0.8182351658784164,0.006933414673310406
0.5617433852416951,0.0006393363219842491,0.7894971119823677,0.025094767323217557
0.5593719215448725,9.176858551592209e-05,0.7879946440600318,0.007520064219788362
0.5562060127807118,-0.00047547236374780553,0.791459981148929,-0.01436448250942262
0.5634138627928758,-0.00014466047165496033,0.7726108499661799,-0.007999759057141221
0.5839926228379507,9.409970803397807e-05,0.714573151903463,0.005458382497749366
0.557433805222523,4.9375771844016375e-05,0.7942045270329032,0.003319915699296699
0.5510690543024053,0.00011171212919794827,0.8181621103119804,0.011016244313444053
0.5401230694467649,-5.942234942335478e-05,0.8499942710897235,-0.0024453464445503043
0.5660508409715557,0.0005296183876318198,0.7697597278987613,0.014648806938600432
0.5573370455223747,-5.541421034878694e-05,0.79465187046871,-0.0016796188491294453
0.5576351951847426,-0.00013107541158575162,0.7914570942423513,-0.006977530044517163
0.5759092768992451,-4.09263886775005e-05,0.7362159508839622,-0.001737978618926738
0.5772428071577882,-0.002053714428197597,0.719361362475401,-0.03547590792614617
0.5444404846583083,0.00010729405188371864,0.8399866350515686,0.010328490632174732
0.5441996179476931,0.0003751457542334781,0.8442360444171443,0.014738662621172271
0.5493835884402885,-4.015979395606355e-05,0.8190352059290378,-0.0020634487649103463
0.5573598397832805,-0.0011508755870844219,0.7931702896687308,-0.028232028767740173
0.5802920523759012,-0.0006635050071335576,0.7247605275644465,-0.024946752714595934
0.5611548390112158,0.002873625293457735,0.8049171727659942,0.06237388703201588
0.5670442595709718,0.0004535877146787841,0.7705215589171162,0.009553273405695922
0.5644916892048762,-7.649141346734471e-05,0.7681681939892031,-0.005005226329988725
0.5685395162285349,-0.0005263016523831196,0.7534124829643039,-0.020308928325471803
0.5609484595228299,-3.574530720246898e-05,0.7821409574907601,-0.002654819765182719
0.5952390950693773,0.0003068583763696873,0.6843526439915606,0.023850984712017832
0.5647092321650852,0.0004215830435845471,0.7710337639753753,0.018344066726260454
0.561568295519387,-0.0001528692497033881,0.7793618601631712,-0.009663710147389279
0.5748433457455464,-0.00023761008089011586,0.737007719570161,-0.006838616027192378
0.5789880739883747,0.0005355248385417108,0.7225866911497333,0.014099544052927614
0.560686130942102,0.001041320780288034,0.8079887265424317,0.053637444335332136
0.5544117566026288,0.0002731287260183601,0.8096014705913378,0.009084832415173985
0.5566108672060265,-4.926126381065983e-05,0.7960816366210994,-0.0032142724949301735
0.5630411287737561,4.672465275663059e-05,0.7766966626571817,0.0032770524500790386
0.5761772483005492,-0.0005250465783349957,0.7241629390390504,-0.027939281623049678
0.5672442556871646,8.015191158780317e-05,0.7632775531047135,0.0036711323604015447
0.5624749434645406,-0.0005243925353866762,0.7760017594817028,-0.022547335394228027
0.5786673526914158,0.00012886355169599694,0.728914589389118,0.0055684298673343005
0.564969609695431,0.00023439296691680437,0.7700764619360592,0.010395304091360207
0.5737140442131219,0.00019600099421316665,0.7480463654333115,0.020250657430900036
0.5722400328059046,-0.00013417977260339218,0.7466568127650739,-0.006730644349269658
0.5926888047031563,0.00036092976152679243,0.6871848621240518,0.03298994357136181
0.5565800085386966,5.5622116212424196e-05,0.8010785263376217,0.006969541176570897
0.5927453688070857,-3.790740830547645e-05,0.6866463115977011,-0.0022760802038024413
0.5722976604102376,0.0007183607125254114,0.7581542563793594,0.020738888604796685
0.5459440049431699,7.395817459512725e-05,0.834125694309061,0.004310032014628612
0.5693287946204546,-0.00019542871680789222,0.7544511000775254,-0.0067403545979628
0.551360714464626,0.0007538836272963784,0.8207232504855799,0.04523020530772119
0.5829941461192242,0.000414635277617874,0.7195358647237896,0.012050182487662313
0.57603265515312,-0.00015878410818898417,0.7383399014715781,-0.013928584753483806
0.5622008748560076,0.00017360121058212358,0.7783302093233574,0.009263110848170308
0.5632986935098924,-0.00023428987568236293,0.7724329906433459,-0.008929531021522188
0.5568736083643084,-4.840139616629606e-06,0.795534749820296,-0.0004935120932690384
0.5723586405149468,-0.000605402426901545,0.7407052625858785,-0.02092964426863678
0.5798257158413836,0.0006694699589118204,0.7282497289559097,0.0183297761721118
0.5678810260923334,0.00014034985743511044,0.7624447405689262,0.006089946150955067
0.567466272988791,0.0002154446926956738,0.7670747660682466,0.014157628056236857
0.5706015660899646,0.0006745237644778402,0.7658587642338038,0.027054862572386155
0.5541550485702346,-4.78007666115869e-05,0.8033859606529414,-0.002277929221976267
0.557966355068036,0.00036352145954193435,0.7962744101108072,0.022303364303064142
0.562261654327808,5.656447598236967e-05,0.7780880761991692,0.004126437803343462
0.5441329178756968,3.1642270611959076e-06,0.8379340668538892,0.0003147868052533894
0.5643071363802783,0.0001351586528344868,0.7725859444338091,0.0036649106432839616
0.5667617193976338,0.0002754044900658923,0.7691795129174437,0.013718029864925143
0.5762305868541422,-0.0006810663432426402,0.7314859691192748,-0.015100112112168908
0.5526744331776158,0.0001597285166529249,0.8095735410181933,0.010150656997788044
0.5658973199961199,-0.00018892761750971543,0.7690534500339941,-0.009892142579262048
0.5646838919147409,-6.736930488751309e-05,0.7704942399437039,-0.00152403664733586
0.5670182079435283,0.0004128128291205693,0.771557981752926,0.024384464398940514
0.5789522408577196,3.2472846850923665e-05,0.727839232670798,0.0016204886228503741
0.549896055457407,7.570577961465161e-05,0.8206452160913199,0.003908896228501695
0.5769690543634572,0.0006893638387598031,0.7353378762462327,0.021734575031433553
0.558100457655573,0.0013781232117447556,0.7987275208267381,0.041050595743637015
0.5812248671655365,-0.0001781621828328417,0.7188681300581719,-0.004716820134056461
0.562394299173865,-0.0006289190148412189,0.7707712071429578,-0.018197147782535353
0.553050402083002,0.00014490017565631317,0.8106342427344169,0.006208668549890902
0.5344400352689221,-0.0009347056262018951,0.8523482186245904,-0.0199757800523125
0.5605763875610654,5.04075129170962e-05,0.7841617093485901,0.0015275118632473129
0.560007491124642,8.216094934127872e-05,0.7889197651651966,0.006563247771290052
0.5954296147894133,0.0012365148256098593,0.6884525120258589,0.04260664908057846
0.5821809693956291,-0.0005380412050385065,0.709979521583129,-0.016825037246498937
0.5642185924855192,-0.00035297719449504765,0.7670649355845146,-0.01952032103719508
0.5647943734932984,0.00035613286851990996,0.7765756273533134,0.01090614523847264
0.5635517113549404,-0.00040620323405905247,0.7703309386627271,-0.015802637866715406
0.5450663571533831,0.000264898113200171,0.8367893534339955,0.01772586333771949
0.5456739485983181,-0.00040197175314038956,0.8290185583564621,-0.013097446121799697
0.5890538690949364,-0.00035356301705447273,0.6948493911807572,-0.013139215299069732
0.562147552107769,0.00013408509806017623,0.7803734808265468,0.006843982623181378
0.5708800480010513,-0.00048222302523924336,0.7469971875424541,-0.024658955715274652
0.5612211619612238,0.0003139381765105576,0.7877976202139538,0.024678873446065185
0.5661982261074414,0.0008021927758839996,0.7714658938907499,0.02815264590818462
0.5692173389822897,0.0007738259031126703,0.7619265774994349,0.02016083875143342
0.5721634404878915,-8.473475005454055e-05,0.746709422921341,-0.00438582794729446
0.5574528619266712,0.00047142163094981114,0.8020887999028614,0.022488866001192022
0.5626750354167226,-0.0002182695060564733,0.776492159130448,-0.0039515030609296046
0.5944606094147937,-8.965705879259572e-05,0.6826709562330902,-0.008718443133265145
0.5578962796691632,0.0003381106061835096,0.792596558363891,0.012962170115828812
0.5906998878344104,0.0004510924423755582,0.6975927589883617,0.018595236094471036
0.5727411597043773,-0.0013205713974191423,0.7403024751454464,-0.03640206713500638
0.5715565109303529,-0.0006574217103743323,0.7495991674197189,-0.022047729556579694
0.5725720289205557,0.00021465307607345697,0.7543721549466232,0.01884357560710665
0.5872725606875484,0.0006161596708750411,0.7038521621077418,0.03271189868136378
0.5747125156775614,5.5549136199598264e-05,0.7422764686468327,0.006424758084134882
0.5669080170257663,0.00014056144217900086,0.7661620179322556,0.0069177520461497595
0.5790087881741898,0.0003343965722102764,0.7333996507866747,0.021516026713049325
0.5430455917593944,4.472892162223161e-06,0.8422959133692868,0.002587756558962245
0.5618430713043917,-0.00023291688526003683,0.7777105520701649,-0.009162457518903372
0.5769059004326267,0.00014766153892167757,0.7338052822002006,0.005583654816357982
0.566513487951227,-0.0001595849457139819,0.766434958814718,-0.006924582805330013
0.5813339922826647,0.000753342490922012,0.7330013888980607,0.04780376055286834
0.5616941651610216,0.00029444003068418087,0.7862420921335871,0.017449582614891223
